a_pred_both,a_pred_a,a_pred_n,a_pred_none,n_pred_both,n_pred_a,n_pred_n,n_pred_none
0,3,11,0,0,0,8,0
0,3,11,0,0,0,4,0
1,12,10,0,0,0,5,0
0,23,7,0,0,91,267,0
0,45,25,11,0,20,390,61
0,1,1,1,0,0,175,142
0,0,1,0,0,0,3,0
0,16,7,44,0,13,112,171
0,13,31,0,0,0,1,0
0,8,30,3,0,0,0,0
0,5,2,0,0,0,1,0
0,4,0,0,0,0,0,0
0,36,17,43,0,11,122,153
0,23,3,35,0,1,140,106
0,1,3,0,0,0,2,0
0,20,2,40,0,1,46,55
0,13,8,37,0,7,167,110
0,26,21,26,0,5,218,111
2,7,10,0,0,0,5,0
0,3,10,0,0,0,18,0
0,28,25,19,0,7,366,74
0,7,13,3,0,1,2,0
0,6,8,10,0,4,124,92
0,14,10,12,0,0,7,4
0,1,1,0,0,0,0,0
4,11,7,0,1,1,8,0
2,8,8,0,0,0,10,0
0,0,5,0,0,0,3,0
0,16,55,1,0,0,2,0
0,5,11,37,0,1,133,92
0,14,38,13,0,1,0,2
